Ime,Priljubljenost,Cena,Vrsta,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
Celebrate Spring Wreath in Lily Sugar 'n Cream Solids,2206,£0.00,Accessories,Lily Sugar 'n Cream,,English,1,,
Kuscheliger Elefant Häkelanleitung,2207,£0.00,Toys,Independent Designer,Ternura Amigurumi,German,1,10,Intermediate
Large Floor Cushion,2208,£0.00,Homeware,Independent Designer,Annemarie Benthem,English,1,4,Intermediate
Lacy Panels Blanket in Bernat Softee Baby Solids,2209,£0.00,Blankets,Bernat,,English,1,,
Momo Monkey in Schachenmayr Luxury Velvet - S10833 - Downloadable PDF,2210,£0.00,Toys,Schachenmayr,Denise Karg alias Fräulein Wollwunde,"Dutch, English, French",1,4,Beginner
Zeyda Mandala,2211,£0.00,Homeware,Independent Designer,A Yarn of Serendipity,English,1,10,Intermediate
Butterfly Bag in Lion Brand 24/7 Cotton - Downloadable PDF,2212,£0.00,Butterfly Bag in Lion Brand 24/7 Cotton - Downloadable PDF,Lion Brand,,English,1,6,Beginner
Harlequin Blanket in Bernat Softee Baby Solids,2213,£0.00,Blankets,Bernat,,English,1,,
Basket with Granny Squares Edge in Schachenmayr Catania - S9470 - Downloadable PDF,2214,£0.00,Granny squares,Schachenmayr,,"Dutch, English, French, German",1,2,
Crochet blackberry,2215,£0.00,Toys,Independent Designer,Creative Needle,English,1,,Beginner
Dove,2216,£0.00,Toys,Independent Designer,Ewelina Cherry Tree Workshop,"English, Polish",1,22,Beginner
Octagon Baby Blanket in Caron Simply Soft - Downloadable PDF,2217,£0.00,Blankets,Caron,Marilyn Losee,English,1,2,Intermediate
Free Amigurumi Frog Crochet Pattern,2218,£0.00,Toys,Independent Designer,Viktorija Dineikiene,"Danish, Dutch, English, French, German",1,,Beginner
Ranunculus Flower,2219,£0.00,Homeware,Independent Designer,Roseanna Murray,English,1,,Beginner
Lumi socks,2220,£0.00,Socks,Independent Designer,Anna Nikipirowicz,English,1,3,Intermediate
Crocheted Jeannee Worsted Chemo Caps in Plymouth Yarn Jeannee Worsted - F380,2221,£0.00,Hats,Plymouth Yarn,,English,1,,
Sleeping doll Isabelle,2222,£0.00,Toys,Independent Designer,LarissDesigns,"Dutch, English",1,17,Beginner
Flower Mandala 1,2223,£0.00,Homeware,Independent Designer,Atelier Sopra,"Dutch, English",1,6,Intermediate
Life of the sky,2224,£0.00,Accessories,Independent Designer,Kate Veselunka,"Czech, English",1,101,Advanced
Assorted Crochet Plants,2225,£0.00,Toys,Independent Designer,Tomomi Landsman,English,1,3,Intermediate
Henry the small Hippo,2226,£0.00,Toys,Independent Designer,Jennifer Beal,English,1,3,Intermediate
Riad Tassel Dress - Free Crochet Pattern for Women in Paintbox Yarns Cotton DK - Downloadable PDF,2227,£0.00,Dresses,Paintbox Yarns,,English,1,6,Intermediate
Crochet Bunny,2228,£0.00,Toys,Independent Designer,Donna Wilkins,English,1,,Beginner
Double Side Card Case,2229,£0.00,Accessories,Independent Designer,Catherine Wang,English,1,3,Beginner
Basketweave Hat in Cascade Boliviana Bulky - B235 - Downloadable PDF,2230,£0.00,Hats,Cascade Yarns,Anna R. Simonsen,English,1,2,Intermediate
Cat Silhouette Tapestry,2231,£0.00,Homeware,Independent Designer,Sara Hash,English,1,8,Beginner
Baby Ripple Onesie,2232,£0.00,Baby Ripple Onesie,Independent Designer,Granny Lawlor,English,1,4,Beginner
"Easter Egg,Crochet Egg Pattern,Free Crochet Patterns,Crochet Cute Patterns,Crochet Pattern For Beginners",2233,£0.00,Homeware,Independent Designer,Kathy Leung,English,1,5,Beginner
Summer Top in Lily Sugar 'n Cream Solids,2234,£0.00,Tops,Lily Sugar 'n Cream,,English,1,,
Tonal Twist Sweater - Free Crochet Pattern for Women in Paintbox Yarns Ombré Aran Wool Touch,2235,£0.00,Jumpers,Paintbox Yarns,Paintbox Yarns,English,1,6,Advanced
Baby's Soft Ball,2236,£0.00,Toys,Independent Designer,Elise Mann,English,1,,Beginner
Siren Bikini in Adriafil Tender - Downloadable PDF,2237,£0.00,Dresses,Adriafil,,English,1,1,
Butterfly Spirit,2238,£0.00,Homeware,Independent Designer,Sarah Athey,English,1,24,Intermediate
Stripes & Crosses Top,2239,£0.00,Tops,Independent Designer,Hooked by Anna,English,1,6,Intermediate
Lacy Cami in Caron Simply Soft - Downloadable PDF,2240,£0.00,Tops,Caron,Margret Willson,English,1,3,Intermediate
Ladies Shell Sweater in Plymouth Yarn Fantasy Naturale - 1261 - Downloadable PDF,2241,£0.00,Jumpers,Plymouth Yarn,,English,1,2,Intermediate
Verbena Mesh Cropped Vest,2242,£0.00,Tops,Independent Designer,capuletstitches,English,1,4,Beginner
Ukraine Sunflower,2243,£0.00,Ukraine Sunflower,Independent Designer,UniquelyTangled,English,1,,Intermediate
Montana Poncho,2244,£0.00,Accessories,Independent Designer,Michele C,English,1,,Beginner
Ariel's Baby Blankie in Cascade Cherub Aran - A158,2245,£0.00,Blankets,Cascade Yarns,,English,1,2,Advanced Beginner
Top hat for amigurumi,2246,£0.00,Toys,Independent Designer,Orchid Skyfire,English,1,,Beginner
Astrid Top in Adriafil Giada - Downloadable PDF,2247,£0.00,Tops,Adriafil,,English,1,2,
Amigurumi Holiday Lights,2248,£0.00,Homeware,Independent Designer,Jill Watt,English,1,1,Beginner
Brilliant Beret - Free Hat Crochet Pattern for Women in Paintbox Yarns Simply DK by Paintbox Yarns,2249,£0.00,Hats,Paintbox Yarns,Paintbox Yarns,English,1,4,Intermediate
Rosalie Twisted Headband,2250,£0.00,Accessories,Independent Designer,Labours of Love Crochet,English,1,4,Intermediate
Simple Blue Beanie,2251,£0.00,Accessories,Independent Designer,Grace D Penny,English,1,2,Beginner
Rainbow Market Bag,2252,£0.00,Accessories,Independent Designer,AnDream Crochet By,English,1,,Beginner
Pawsome Granny Square,2253,£0.00,Pawsome Granny Square,Independent Designer,Sarah  Reed,English,1,,Beginner
Sweet Baby Beanie and Booties,2254,£0.00,Accessories,Independent Designer,Knit and Crochet Ever After,English,1,,Beginner
Mesh Market Bag in Red Heart Mariola - WR2030EN - Downloadable PDF,2255,£0.00,Mesh Market Bag in Red Heart Mariola - WR2030EN - Downloadable PDF,Red Heart,Kim Kotary,English,1,1,Beginner
Chevron Crochet Blanket in Rowan Handknit Cotton,2256,£0.00,Blankets,Rowan,,English,1,2,Advanced Beginner
Three Little Bowls,2257,£0.00,Homeware,Independent Designer,Merrian Holland,English,1,12,Beginner
Ready for Summer Pillow,2258,£0.00,Cushions,Independent Designer,Maggie Trunkhill,English,1,9,Intermediate
Amigurumi Bunny Rabbit,2259,£0.00,Toys,Independent Designer,TatieSoftToys,English,1,15,Intermediate
Earrings Boho Granny Square,2260,£0.00,Accessories,Independent Designer,Yana Smolina,English,1,,Beginner
Granny  Square Clutch,2261,£0.00,Accessories,Independent Designer,Fair Isle Yarn,English,1,5,Beginner
Illuin Earwarmer,2262,£0.00,Headbands,Independent Designer,K.A.M.E. Crochet,English,1,5,Intermediate
Watermelon catnip cat toy,2263,£0.00,Watermelon catnip cat toy,Independent Designer,Yarnbae,English,1,3,Beginner
Shawl in Bergere de France Unic - Downloadable PDF,2264,£0.00,Shawls,Bergère de France,Bergere de France,"Dutch, English, French, German",1,,Intermediate
Amigurumi Pokéball - Video Tutorial,2265,£0.00,Toys,Independent Designer,Codi Hudnall,English,1,,Beginner
Häkelanleitung Sorgenwurm,2266,£0.00,Accessories,Independent Designer,amigoll9,German,1,4,Beginner
Koala Amigurumi,2267,£0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Crochet Mood Blanket 2014 - June Square - by Pukado,2268,£0.00,Crochet Mood Blanket 2014 - June Square - by Pukado,Independent Designer,Patricia  Stuart,English,1,,Advanced
Laica Market Bag,2269,£0.00,Accessories,Independent Designer,K.A.M.E. Crochet,English,1,7,Intermediate
Bobble Afghan in Bernat Baby Coordinates Solids,2270,£0.00,Blankets,Bernat,,English,1,,
Sweet Sundae Mosaic Pouch UK Terms,2271,£0.00,Sweet Sundae Mosaic Pouch UK Terms,Independent Designer,Emkatcrochet,English,1,7,Intermediate
Sunbeams Granny Square,2272,£0.00,Homeware,Independent Designer,Crochet Dahlia,English,1,3,Beginner
100 Motif Afghan in Caron Simply Soft and Simply Soft Brites - Downloadable PDF,2273,£0.00,Blankets,Caron,,English,1,4,Beginner
Anniversary crochet flower,2274,£0.00,Anniversary crochet flower,Independent Designer,Agrarian Artisan,English,1,1,Intermediate
Afghan in Bernat Alize Blanket-EZ - Downloadable PDF,2275,£0.00,Blankets,Bernat,,English,1,2,Beginner
Little Pumpkin Hat,2276,£0.00,Hats,Independent Designer,Asita Krebs,"English, German",1,7,Beginner
Girl's Playground Cardigan in Patons Classic Wool DK Superwash - Downloadable PDF,2277,£0.00,Cardigans,Patons US,,English,1,2,Intermediate
Anja Dress in Adriafil Memphis - Downloadable PDF,2278,£0.00,Dresses,Adriafil,,English,1,2,
Cloud,2279,£0.00,Toys,Independent Designer,My First Buddies,English,1,3,Beginner
Crochet Coin Scarf in Universal Yarn Classic Shades Metallic - 1231 - Downloadable PDF,2280,£0.00,Scarves & Shawls,Universal Yarn,,English,1,2,Beginner
Crocheted Top in Schachenmayr Tahiti - 2180 - Downloadable PDF,2281,£0.00,Tops,Schachenmayr,,"Dutch, English, French, German",1,2,
Rainbow Hexagon Beach Bag in Lily Sugar 'n Cream Solids,2282,£0.00,Accessories,Lily Sugar 'n Cream,,English,1,,
Tis the Season Christmas Trees - Free Christmas Decorations Crochet Pattern in Paintbox Yarns Cotton DK,2283,£0.00,Decorations,Paintbox Yarns,Paintbox Yarns,English,4,7,Beginner
Canning Jar Toppers in Lily Sugar 'n Cream Solids - Downloadable PDF,2284,£0.00,Homeware,Lily Sugar 'n Cream,,English,3,2,Beginner
Perfect Illusion Placemat in Wool and the Gang Ra-Ra-Rafia - Downloadable PDF,2285,£0.00,Homeware,Wool and the Gang,,English,1,24,Beginner
Andalusia Throw in Berroco Comfort,2286,£0.00,Blankets,Berroco,,English,1,,Beginner
Muffin hat,2287,£0.00,Hats,Independent Designer,schneckenstrick designs,"English, German",1,8,Intermediate
"Cube of Dirt from ""Minecraft"" by AradiyaToys",2288,£0.00,Toys,Independent Designer,AradiyaToys,English,1,9,Intermediate
Amigurumi Bear in Lion Brand Truboo - M21019 TB - Downloadable PDF,2289,£0.00,Toys,Lion Brand,Lion Brand,English,1,6,Beginner
Baby Booties,2290,£0.00,Booties,Independent Designer,Susan Lowman,English,1,4,Beginner
Miriam Top in Adriafil Fusione and Cheope - Downloadable PDF,2291,£0.00,Tops,Adriafil,,English,1,1,
Market Bag in Bernat Handicrafter Cotton Prints,2292,£0.00,Accessories,Bernat,,English,1,,
Flower Power Coaster,2293,£0.00,Homeware,Independent Designer,MandyO,English,1,10,Beginner
Tonga Poncho in Adriafil Spice - Downloadable PDF,2294,£0.00,Ponchos,Adriafil,,English,1,1,
First Winter,2295,£0.00,Hats,Independent Designer,Elizabeth Sullivan,English,1,2,Beginner
Simplicity,2296,£0.00,Accessories,Independent Designer,Erika Loftin,English,1,,Beginner
"Lamb Coaster,Crochet Coasters,Crochet Animals,Crochet Patterns for Beginners",2297,£0.00,Homeware,Independent Designer,Kathy Leung,English,1,5,Beginner
Little Big Bear,2298,£0.00,Toys,Independent Designer,Ljubomir Kostin,English,1,7,Beginner
"""Queenie Bikini"" - Accessory Crochet Pattern For Women in Paintbox Yarns Cotton DK - COT-CRO-WOM-002",2299,£0.00,Accessories,Paintbox Yarns,,English,3,6,Intermediate
Felisha Mittens,2300,£0.00,Accessories,Independent Designer,AnDream Crochet By,English,1,,Beginner
Halloween Bat Toys in Lily Sugar 'n Cream Solids,2301,£0.00,Accessories,Lily Sugar 'n Cream,,English,1,,
"Crochet Coaster,Coaster Crochet Pattern,Crochet Pattern Coaster,Crochet Coaster Pattern Free",2302,£0.00,Homeware,Independent Designer,Kathy Leung,English,1,5,Beginner
Basic Crochet Sock Monkey in Patons Classic Wool Worsted - Downloadable PDF,2303,£0.00,Toys,Patons US,,English,1,,Beginner
Brighten Your Day Crochet Rainbow Stuffie,2304,£0.00,Toys,Independent Designer,Midknits,English,1,,Beginner
Weekend Water Bottle Holder in Universal Yarn Cotton Supreme Speckles - 2630 - Downloadable PDF,2305,£0.00,Accessories,Universal Yarn,Ashley Jane McIntyre,English,1,2,Beginner
Baby T-Topper in Caron Simply Soft - Downloadable PDF,2306,£0.00,Cardigans,Caron,,English,1,3,Intermediate
Crocheted Espadrilles in Schachenmayr Catania - S9017 - Downloadable PDF,2307,£0.00,Slippers,Schachenmayr,,"Dutch, English, French, German",1,2,
"""Kaleidescope Coat"" - Coat Crochet Pattern For Women in Paintbox Yarns Simply Aran - ARAN - WOM - 002",2308,£0.00,Coats,Paintbox Yarns,,English,1,8,Intermediate
Tote in Schachenmayr Micro Summer Color - Downloadable PDF,2309,£0.00,Tote in Schachenmayr Micro Summer Color - Downloadable PDF,Schachenmayr,,"Dutch, English, French, German",1,2,
Mini Chubby Baby Octopus,2310,£0.00,Toys,Independent Designer,Crocheted Whimsy,English,1,12,Beginner
My Summer Tote,2311,£0.00,Accessories,Independent Designer,Kötött,"English, Russian",1,18,Beginner
The Mini Mini Monster,2312,£0.00,Toys,Independent Designer,Llama Lou Crochet,English,1,,Beginner
Half and Half Granny Square,2313,£0.00,Homeware,Independent Designer,Keep Calm and Crochet On UK,English,1,,Beginner
Sunflower keyring,2314,£0.00,Accessories,Independent Designer,Luna Crochet Designs,English,1,4,Beginner
Tiny Cup Trophy,2315,£0.00,Toys,Independent Designer,Lottie's Creations,English,1,,Beginner
Haven Shells Shawl in Cascade Yarns Ultra Pima Fine - FW224 - Downloadable PDF,2316,£0.00,Shawls,Cascade Yarns,Shannon Thomas,English,1,4,Intermediate
Dixie Pixie Hat,2317,£0.00,Hats,Independent Designer,Agasalhos e Bugalhos,"English, Portuguese",,,Beginner
Bee Breezy by AradiyaToys,2318,£0.00,Toys,Independent Designer,AradiyaToys,"English, Russian",1,12,Beginner
"Tommaso Set in Adriafil Ninnao, Ice Cream, Merino & Mirage - Downloadable PDF",2319,£0.00,Blankets,Adriafil,,English,4,4,
Floral Cami in Caron Simply Soft - Downloadable PDF,2320,£0.00,Tops,Caron,,"English, French",1,3,Beginner
Crocheted Panda,2321,£0.00,Accessories,Independent Designer,CatKnit,English,1,2,Intermediate
Sea Turtle,2322,£0.00,Toys,Independent Designer,brandi isham,English,1,,Beginner
Oakley the Monkey,2323,£0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Perfect Office Crochet Jacket in Caron Simply Soft - Downloadable PDF,2324,£0.00,Jackets,Caron,Lorna Miser,English,1,3,Intermediate
The Snowman,2325,£0.00,Toys,Independent Designer,T. Patron Crochet,"English, French",1,3,Beginner
Circular boho coasters,2326,£0.00,Homeware,Independent Designer,Biosha Thompson,English,1,2,Beginner
Lacy Dishcloth in Lily Sugar 'n Cream Solids - Downloadable PDF,2327,£0.00,Dishcloths,Lily Sugar 'n Cream,,English,1,1,Beginner
Florence Flamingo in Lion Brand Feels Like Butta & Go For Faux - Downloadable PDF,2328,£0.00,Toys,Lion Brand,Lion Brand,English,1,7,Beginner
Crochet pattern keychain Rose,2329,£0.00,Accessories,Independent Designer,amigoll9,English,1,,Beginner
Boy's Cardigan in Bernat Softee Baby Solids,2330,£0.00,Cardigans,Bernat,,English,1,,
Promenade Oversized Cardigan - Free Cardigan Crochet and Knitting Pattern For Women in Paintbox Yarns Cotton DK by Paintbox Yarns,2331,£0.00,Cardigans,Paintbox Yarns,,English,1,7,Advanced
Toddler Hoodie in Caron Simply Soft Collection & Simply Soft Paints - Downloadable PDF,2332,£0.00,Jumpers,Caron,Tammy Hildebrand,English,1,5,Beginner
Flower (Lily) Cat Hat,2333,£0.00,Toys,Independent Designer,Veraquin,English,1,2,Intermediate
Tongue-Tied Headband,2334,£0.00,Headbands,Independent Designer,Grace Marchione,English,1,5,Beginner
Bookmark Crazy Giraffe,2335,£0.00,Toys,Independent Designer,Martuland Handmade,English,1,3,Beginner
Crocheted Prince Frog Keyring,2336,£0.00,Accessories,Independent Designer,CatKnit,English,1,3,Intermediate
Triangle Stitch Tank Top,2337,£0.00,Tops,Independent Designer,SeyhallCrochetDesign,English,1,7,Intermediate
Criss Cross Pillow in Bernat Alize Blanket-EZ - Downloadable PDF,2338,£0.00,Home,Bernat,,English,1,2,Beginner
Classic easy crochet diagonal dishcloth,2339,£0.00,Homeware,Independent Designer,Carolyn Stanton,English,1,3,Beginner
Super Soft Granny Baby Blanket in Lion Brand Velvetspun and Babysoft - Downloadable PDF,2340,£0.00,Blankets,Lion Brand,Lion Brand,English,1,3,Beginner
Heart Key Chain,2341,£0.00,Heart Key Chain,Independent Designer,Thatiane Kowas,English,1,6,Beginner
Simple Comfort Crocheted Prayer Shawl in Cascade Cherub DK - DK349,2342,£0.00,Shawls,Cascade Yarns,,English,1,5,Advanced Beginner
Super solid granny square,2343,£0.00,Super solid granny square,Independent Designer,Luna Crochet Designs,English,1,3,Beginner
Hippo Amigurumi Animal Free Crochet Pattern,2344,£0.00,Toys,Independent Designer,Viktorija Dineikiene,"Danish, Dutch, English, French, Spanish",1,,Intermediate
Duckbill Dalliance,2345,£0.00,Duckbill Dalliance,Independent Designer,Margaret MacInnis,English,1,3,Advanced
Colourful Carnaby Blanket,2346,£0.00,Homeware,Independent Designer,Emma Leith,English,1,5,Intermediate
Santa Claus - Free Toy Crochet Pattern For Christmas in Paintbox Yarns Cotton Aran by Paintbox Yarns,2347,£0.00,Toys,Paintbox Yarns,Ilaria Caliri,English,1,5,Beginner
Basic Fingerless Mitts with Thumb Gusset,2348,£0.00,Accessories,Independent Designer,Anna Murphy,English,1,6,Beginner
Be Kind Tapestry Crochet Motif,2349,£0.00,Be Kind Tapestry Crochet Motif,Independent Designer,made by hem,English,1,4,Intermediate
Greenlawn Crochet Shrug,2350,£0.00,Cardigans,Independent Designer,1 More Row Designs,English,1,,Beginner
Daisy Granny Square,2351,£0.00,Daisy Granny Square,Independent Designer,Codi Hudnall,English,1,,Beginner
Kali Flower,2352,£0.00,Kali Flower,Independent Designer,Joyce Yu,English,1,,Intermediate
Crocheted Giraffe,2353,£0.00,Toys,Independent Designer,CatKnit,English,1,3,Intermediate
No Sew T-Rex Dino,2354,£0.00,Toys,Independent Designer,Fat Dog Crochet,English,1,8,Beginner
The Larksfoot Blanket,2355,£0.00,Homeware,Independent Designer,Hannah Cross,English,1,4,Beginner
Easy Baby Jacket,2356,£0.00,Cardigans,Independent Designer,Elise Mann,English,1,5,Beginner
Easy Going Crochet Blanket in Bernat Super Value - Downloadable PDF,2357,£0.00,Blankets,Bernat,,English,1,1,Beginner
Rainbow Granny Stripes Hat in Caron Simply Soft - Downloadable PDF,2358,£0.00,Hats,Caron,,English,1,1,Beginner
Granny goes Ripple Blanket in Caron Simply Soft - Downloadable PDF,2359,£0.00,Blankets,Caron,Delma Myers,English,1,2,Beginner
Free Mini Manatee,2360,£0.00,Toys,Independent Designer,Theresa,English,1,3,Beginner
Fika Poncho,2361,£0.00,Ponchos,Independent Designer,CJ Brady Designs,English,1,,Intermediate
Wicket the Ewok,2362,£0.00,Toys,Independent Designer,Lucy Collin,English,1,,Intermediate
Berme Cardigan in Berroco Borealis,2363,£0.00,Cardigans,Berroco,,English,1,,
Amigurumi Bunny Rabbit,2364,£0.00,Toys,Independent Designer,Mevlinn Gusick,English,1,5,Intermediate
Amigurumi - Starbucks Frappucino,2365,£0.00,Toys,Independent Designer,Sweet N Cute Creations,English,1,,Beginner
Goldberry Earwarmer,2366,£0.00,Headbands,Independent Designer,K.A.M.E. Crochet,English,1,6,Intermediate
Arrowhead Striped Afghan in Caron United - Downloadable PDF,2367,£0.00,Blankets,Caron,,English,1,1,Intermediate
Twinkling Snowflakes in Bernat Handicrafter Holidays - Downloadable PDF,2368,£0.00,Decorations,Bernat,,English,3,2,Intermediate
Almeria Market Bag in Hoooked Eco Barbante - Downloadable PDF,2369,£0.00,Accessories,Hoooked,,"Dutch, English, German",1,1,Beginner
Beach Please,2370,£0.00,Accessories,Independent Designer,QUOE,English,1,,Beginner
Starlette Shawl in Bernat Satin,2371,£0.00,Shawls,Bernat,,English,1,,
Spring Bag in Lily Sugar 'n Cream Solids,2372,£0.00,Accessories,Lily Sugar 'n Cream,,English,1,,
QT Headband in Spud & Chloe Fine - Downloadable PDF,2373,£0.00,Headbands,Spud and Chloe,Colleen Powley,English,1,1,Beginner
Top in Schachenmayr Catania - S7360B - Downloadable PDF,2374,£0.00,Tops,Schachenmayr,,"Dutch, English, French, German",1,2,
Macarons Cupcakes in Lily Sugar 'n Cream Solids,2375,£0.00,Accessories,Lily Sugar 'n Cream,,English,6,,
Boreal Baby Hat,2376,£0.00,Hats,Independent Designer,Agasalhos e Bugalhos,"English, Portuguese",,6,Beginner
Plushie bunny,2377,£0.00,Toys,Independent Designer,LoveyCrochetPatterns,English,1,10,Beginner
Chunky Bag,2378,£0.00,Accessories,Independent Designer,Annemarie Benthem,English,1,5,Intermediate
Sweet Baby Blanket in Bernat Baby Coordinates Solids,2379,£0.00,Blankets,Bernat,,English,2,,
Cyanne Coverlet in Berroco Comfort DK,2380,£0.00,Blankets,Berroco,,English,1,,Beginner
Disy: The bear,2381,£0.00,Toys,Independent Designer,Gava Crochet,English,1,,Beginner
Crochet Stripes Blankets in Caron One Pound - Downloadable PDF,2382,£0.00,Blankets,Caron,Lorna Miser,English,3,2,Beginner
Tiniest Astronaut,2383,£0.00,Toys,Independent Designer,Llama Lou Crochet,English,1,6,Beginner
Beaded Lace Fishnet Fingerless Gloves,2384,£0.74,Accessories,Independent Designer,Infamous Stitch,English,1,2,Beginner
Sleeve Sweater Scarf,2385,£0.00,Accessories,Independent Designer,Joanne Johncey,English,1,2,Beginner
Lisbon Poncho in Berroco Fuji - Downloadable PDF,2386,£0.00,Ponchos,Berroco,Robyn Chachula,English,1,6,Intermediate
Granny Waves Blanket in Bernat Baby Coordinates Solids,2387,£0.00,Blankets,Bernat,,English,1,,
Go-Go! Hats in Universal Yarn Uptown Worsted,2388,£0.00,Hats,Universal Yarn,,English,1,,
BB-8 Christmas Bauble,2389,£0.00,Homeware,Independent Designer,Super Cute Design,English,1,30,Intermediate
Bee and Flower Coasters,2390,£0.00,Homeware,Independent Designer,Loops and Crosses,English,1,12,Beginner
4th of July Beach Bag in Lily Sugar 'n Cream Solids,2391,£0.00,4th of July Beach Bag in Lily Sugar 'n Cream Solids,Lily Sugar 'n Cream,,English,2,,
Mr. Pistachio the dinosaur,2392,£0.00,Toys,Independent Designer,Ezgi Tandogan,English,1,5,Intermediate
Square Wheel Coasters,2393,£0.00,Homeware,Independent Designer,Keep Calm and Crochet On UK,English,1,,Beginner
PALMy Hedgehog amigurumi / ハリネズミ あみぐるみ,2394,£0.00,Toys,Independent Designer,piggiesagogo,"English, Japanese",1,24,Advanced
Daisy Flower Blanket,2395,£0.00,Homeware,Independent Designer,Annemarie Benthem,English,1,4,Intermediate
Baby Daisy Sun Hat,2396,£0.00,Accessories,Independent Designer,Granny Lawlor,English,1,6,Intermediate
Bouquet Bucket Hat,2397,£0.00,Accessories,Independent Designer,MaughanFabrication,English,1,8,Beginner
Clam Shells Got This Round,2398,£0.00,Homeware,Independent Designer,The Crochet Fix,English,1,,Beginner
Fair and Square Crochet Baby Blanket in Caron One Pound - Downloadable PDF,2399,£0.00,Blankets,Caron,,English,1,2,Beginner
Buttoned Jacket,2400,£0.00,Jackets,Independent Designer,Mon Petit Violon,English,1,3,Intermediate
Vintage Baby Cardigan & Bonnet in Plymouth Yarn Dreambaby DK - 2397 - Downloadable PDF,2401,£0.00,Hats,Plymouth Yarn,Vicki Noordhoek,English,2,2,Intermediate
Crochet Gift Bag CHECKS,2402,£0.00,Accessories,Independent Designer,Barbara Summers,English,1,2,Beginner
Frog prince,2403,£0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Beginner
Rose Flower,2404,£0.00,Rose Flower,Independent Designer,Mevlinn Gusick,English,1,4,Beginner
Frank's Yarmulke or Kippah,2405,£0.00,Accessories,Independent Designer,Bizzy Crochet,English,1,3,Beginner
Feather & Fan Blanket,2406,£0.00,Homeware,Independent Designer,Merrian Holland,English,1,4,Intermediate
Sweet Baby Outfit in Bernat Baby Coordinates Solids,2407,£0.00,Dresses,Bernat,,English,3,,
Miosotis,2408,£0.00,Homeware,Independent Designer,AnaMoraisSoares,"Afrikaans, Dutch, English, Finnish, French, German, Hebrew, Swedish",1,132,Intermediate
Petrus chonkysaurus,2409,£0.00,Toys,Independent Designer,ChirpyCrochet,English,1,7,Beginner
Little Rainbow,2410,£0.00,Little Rainbow,Independent Designer,Ms Premise-Conclusion,English,1,3,Beginner
Mobile Phone Pouch in Lion Brand 24/7 Cotton - M23013 TC - Downloadable PDF,2411,£0.00,Accessories,Lion Brand,Lion Brand,English,1,4,Beginner
Rosy Water Bottle Bag,2412,£0.00,Accessories,Independent Designer,The Crocheting,English,1,5,Beginner
Lighter Cozy,2413,£0.00,Homeware,Independent Designer,Dee's Knotz,English,1,4,Beginner
Anne Doll,2414,£0.00,Toys,Independent Designer,Miss Polly Crochet by PaulaR,English,1,10,Intermediate
Flower Pixie Vest,2415,£0.00,Waistcoats,Independent Designer,Amanda Maciel,English,1,,Beginner
Essential Crochet Patterns for Babies Ebook in Paintbox Yarns Baby DK Prints,2416,£0.00,Essential Crochet Patterns for Babies Ebook in Paintbox Yarns Baby DK Prints,Paintbox Yarns,Paintbox Yarns,English,3,14,Beginner
Zoo Blanket Base Pattern (not including appliques),2417,£0.00,Homeware,Independent Designer,Teri Heathcote,English,1,,Intermediate
Ellie Cardigan in Berroco Comfort DK,2418,£0.00,Cardigans,Berroco,,English,1,,
Bunting Bag in Bernat Softee Baby Solids,2419,£0.00,Accessories,Bernat,,English,1,,
Easy Knitted Filled Baby Bonnet for Beginners,2420,£0.00,Hats,Independent Designer,Peekaboo Knitting,English,1,,Beginner
V Tie,2421,£0.00,Accessories,Independent Designer,Elise Mann,English,1,,Beginner
Tommy the T-Rex,2422,£0.00,Toys,Independent Designer,Cara Engwerda,English,1,6,Intermediate
"""Carnival Camisole"" - Free Top Crochet Pattern For Women in Paintbox Yarns Cotton DK - COT-CRO-WOM-003",2423,£0.00,Sweaters,Paintbox Yarns,,English,1,6,Intermediate
Janis Vest in Caron Simply Soft Party - Downloadable PDF,2424,£0.00,Waistcoats,Caron,Kimberly K. McAlindin,English,1,5,Beginner
Jack Skellington Beanie,2425,£0.00,Accessories,Independent Designer,Bizzy Crochet,English,1,,Beginner
My Mermaid Crochet Snuggle Sack in Bernat Blanket Brights Big Ball - Downloadable PDF,2426,£0.00,Blankets,Bernat,,English,1,2,Beginner
Christmas Pudding Amigurumi,2427,£0.00,Toys,Independent Designer,anniegurumi,English,1,4,Intermediate
Star Amigurumi,2428,£0.00,Toys,Independent Designer,Aramigumi,"English, Spanish",1,10,Beginner
Starla the Starfish in Lily Sugar 'n Cream Solids and Ombre - Downloadable PDF,2429,£0.00,Decorations,Lily Sugar 'n Cream,,English,5,1,Beginner
Mini R2D2 and C3PO,2430,£0.00,Toys,Independent Designer,AhookA,"English, French",1,18,Intermediate
Crochet Pattern Little Mouse!,2431,£0.00,Crochet Pattern Little Mouse!,Independent Designer,amigoll9,English,1,4,Beginner
Easy and cute baby beanie,2432,£0.00,Accessories,Independent Designer,Elena G. Strad,English,1,10,Beginner
Cute 3d flower,2433,£0.00,Homeware,Independent Designer,Luna Crochet Designs,"English, Estonian",1,3,Beginner
